Familia,Pokemon_com_innate,Innates_implementadas,Entrada_proposta,Constante_entrada,Metodo,Mapa_ou_sistema,Tabela,Horario_sugerido,Nivel_min,Nivel_max,Taxa_do_slot,Slot_duplicado_a_substituir,Obtencao_do_resto_da_familia,Justificativa,Status_proposta
ROGGENROLA,Roggenrola; Boldore; Gigalith,"Roggenrola: SOLID_ROCK | Boldore: SOLID_ROCK, ROCK_AND_STONE | Gigalith: STONE_SENTINEL, SOLIDIFY, ROCK_AND_STONE",Roggenrola,SPECIES_ROGGENROLA,Caverna,MAP_UNION_CAVE_1F,land_mons,Qualquer,9,13,1%,SPECIES_RHYHORN (slot 12),Evoluir para Boldore e depois Gigalith; confirmar que a evolução por troca possui alternativa acessível.,ROCK: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
WOOBAT,Woobat; Swoobat,"Woobat: MAGIC_GUARD | Swoobat: TINTED_LENS, MAGIC_GUARD, TELEPATHY",Woobat,SPECIES_WOOBAT,Caverna,MAP_DARK_CAVE_SOUTH_SIDE,land_mons,Noite,4,6,1%,SPECIES_DUNSPARCE (slot 12),Evoluir por amizade para Swoobat.,"PSYCHIC, FLYING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
TIMBURR,Timburr; Gurdurr; Conkeldurr,"Timburr: SCRAPPY | Gurdurr: SCRAPPY, MOLD_BREAKER | Conkeldurr: SCRAPPY, MOLD_BREAKER, DEFIANT",Timburr,SPECIES_TIMBURR,Caverna rara,MAP_MT_MORTAR_1F_SOUTH,land_mons,Qualquer,22,28,1%,SPECIES_GOLETT (slot 12),Evoluir para Gurdurr e Conkeldurr; confirmar alternativa acessível à troca.,FIGHTING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
TYMPOLE,Tympole; Palpitoad; Seismitoad,"Tympole: RAIN_DISH | Palpitoad: RAIN_DISH, STORM_DRAIN | Seismitoad: HYDRATION, RAIN_DISH, STORM_DRAIN",Tympole,SPECIES_TYMPOLE,Pesca,MAP_ROUTE32,fishing_mons,Qualquer,10,10,4%,SPECIES_MAGIKARP (slot 9),Evoluir para Palpitoad e Seismitoad.,"WATER / WATER, GROUND: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
THROH,Throh,"Throh: IRON_FIST, SCRAPPY, DEFIANT",Throh,SPECIES_THROH,Caverna rara,MAP_MT_MORTAR_B1F,land_mons,Qualquer,22,28,1%,SPECIES_GOLETT (slot 12),Espécie de estágio único.,FIGHTING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
SAWK,Sawk,"Sawk: SHARPNESS, IRON_FIST, GUTS",Sawk,SPECIES_SAWK,Caverna rara,MAP_MT_MORTAR_B1F,land_mons,Qualquer,21,28,1%,SPECIES_MAWILE (slot 11),Espécie de estágio único; compartilhar a área com Throh em slots distintos.,FIGHTING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
DWEBBLE,Dwebble; Crustle,"Dwebble: COMPOUND_EYES | Crustle: SOLID_ROCK, COMPOUND_EYES, TINTED_LENS",Dwebble,SPECIES_DWEBBLE,Rock Smash,MAP_CLIFF_EDGE_CAVE,rock_smash_mons,Qualquer,28,31,4%,SPECIES_NOSEPASS (slot 4),Evoluir para Crustle.,"BUG, ROCK: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
SIGILYPH,Sigilyph,"Sigilyph: LEVITATE, TELEPATHY, COMPETITIVE",Sigilyph,SPECIES_SIGILYPH,Ruínas rara,MAP_RUINS_OF_ALPH_OUTSIDE,land_mons,Dia,7,8,1%,SPECIES_ZORUA (slot 12),Espécie de estágio único.,"PSYCHIC, FLYING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
TIRTOUGA,Tirtouga; Carracosta,"Tirtouga: HYDRATION | Carracosta: HYDRATION, RAIN_DISH, WATER_ABSORB",Tirtouga,SPECIES_TIRTOUGA,Restauração de fóssil,RUINS_OF_ALPH_FOSSIL_POOL,special,Qualquer,20,20,—,Nenhum — sistema existente,Adicionar ao pool de fósseis existente e evoluir para Carracosta.,"WATER, ROCK: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_ESPECIAL
TRUBBISH,Trubbish; Garbodor,"Trubbish: POISON_TOUCH | Garbodor: POISON_TOUCH, CORROSION, MERCILESS",Trubbish,SPECIES_TRUBBISH,Grama próxima a Goldenrod,MAP_ROUTE34,land_mons,Noite,10,16,1%,SPECIES_DITTO (slot 12),Evoluir para Garbodor; Gigantamax não recebe encontro próprio.,POISON: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
GOTHITA,Gothita; Gothorita; Gothitelle,"Gothita: MAGIC_GUARD | Gothorita: MAGIC_GUARD, TELEPATHY | Gothitelle: REACTIVE, MAGIC_GUARD, TELEPATHY",Gothita,SPECIES_GOTHITA,Interior raro,MAP_SPROUT_TOWER_3F,land_mons,Noite,3,8,1%,SPECIES_MISDREAVUS (slot 12),Evoluir para Gothorita e Gothitelle.,PSYCHIC: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
DUCKLETT,Ducklett; Swanna,"Ducklett: SWIFT_SWIM | Swanna: RAIN_DISH, WINDCALLER, SWIFT_SWIM",Ducklett,SPECIES_DUCKLETT,Grama próxima à água,MAP_ROUTE35,land_mons,Dia,14,18,4%,SPECIES_TANDEMAUS (slot 10),Evoluir para Swanna.,"WATER, FLYING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
VANILLITE,Vanillite; Vanillish; Vanilluxe,"Vanillite: SLUSH_RUSH | Vanillish: SLUSH_RUSH, SNOW_WARNING | Vanilluxe: SLUSH_RUSH, FILTER, SNOW_CLOAK",Vanillite,SPECIES_VANILLITE,Caverna gelada,MAP_ICE_PATH_1F,land_mons,Qualquer,32,41,1%,SPECIES_SNEASEL (slot 12),Evoluir para Vanillish e Vanilluxe.,ICE: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
DEERLING,Deerling e Sawsbuck: 4 estações cada,"Deerling: UNDERDOG | Sawsbuck: UNDERDOG, PACK_LEADER, GENERALIST",Deerling,SPECIES_DEERLING_AUTUMN,Grama sazonal,MAP_ROUTE36,land_mons,Dia,8,8,1%,SPECIES_TANGELA (slot 12),Usar um único slot condicionado à estação para escolher uma das quatro formas; evoluir preservando a estação.,"NORMAL, GRASS: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
FOONGUS,Foongus; Amoonguss,"Foongus: THICK_FAT | Amoonguss: THICK_FAT, CHLOROPHYLL, LEAF_GUARD",Foongus,SPECIES_FOONGUS,Floresta rara,MAP_ILEX_FOREST,land_mons,Noite,11,15,10%,SPECIES_JOLTIK (slot 5),Evoluir para Amoonguss.,"GRASS, POISON: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
FRILLISH,Frillish; Jellicent,"Frillish: SWIFT_SWIM | Jellicent: SWIFT_SWIM, HYDRATION, RAIN_DISH",Frillish,SPECIES_FRILLISH,Surf,MAP_OLIVINE_CITY,water_mons,Noite,20,24,4%,SPECIES_CLAUNCHER (slot 4),Evoluir para Jellicent; sexo define a aparência.,"WATER, GHOST: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
ALOMOMOLA,Alomomola,"Alomomola: SWIFT_SWIM, RAIN_DISH, WATER_ABSORB",Alomomola,SPECIES_ALOMOMOLA,Super Rod,MAP_CIANWOOD_CITY,fishing_mons,Qualquer,40,40,1%,SPECIES_STARYU (slot 10),Espécie de estágio único.,WATER: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
KLINK,Klink; Klang; Klinklang,"Klink: STEELWORKER | Klang: STEELWORKER, MOTOR_DRIVE | Klinklang: MOTOR_DRIVE, STEELWORKER, HEAVY_METAL",Klink,SPECIES_KLINK,Caverna,MAP_RAILWAY_CAVE,land_mons,Qualquer,26,29,1%,SPECIES_PIKACHU (slot 12),Evoluir para Klang e Klinklang.,STEEL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
ELGYEM,Elgyem; Beheeyem,"Elgyem: MAGIC_GUARD | Beheeyem: PSYCHIC_SURGE, MAGIC_GUARD, COMPETITIVE",Elgyem,SPECIES_ELGYEM,Ruínas rara,MAP_RUINS_OF_ALPH_OUTSIDE,land_mons,Noite,7,8,4%,SPECIES_MANKEY (slot 10),Evoluir para Beheeyem.,PSYCHIC: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
CUBCHOO,Cubchoo; Beartic,"Cubchoo: ICE_BODY | Beartic: TOUGH_CLAWS, ICE_BODY, SNOW_WARNING",Cubchoo,SPECIES_CUBCHOO,Caverna gelada,MAP_ICE_PATH_B1F,land_mons,Qualquer,33,40,1%,SPECIES_MR_RIME (slot 12),Evoluir para Beartic.,ICE: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
CRYOGONAL,Cryogonal,"Cryogonal: ICE_BODY, FILTER, SLUSH_RUSH",Cryogonal,SPECIES_CRYOGONAL,Caverna muito rara,MAP_ICE_PATH_B3F,land_mons,Qualquer,34,41,1%,SPECIES_SNEASEL (slot 12),Espécie de estágio único.,ICE: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
SHELMET,Shelmet; Accelgor,"Shelmet: COMPOUND_EYES | Accelgor: MANEUVERABILITY, COMPOUND_EYES, TINTED_LENS",Shelmet,SPECIES_SHELMET,Floresta úmida rara,MAP_ILEX_FOREST,land_mons,Noite,10,15,10%,SPECIES_SHROOMISH (slot 4),Evoluir para Accelgor; confirmar alternativa acessível à troca com Karrablast.,BUG: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
DRUDDIGON,Druddigon,"Druddigon: BATTLE_ARMOR, REACTIVE, BREAKING_PRESENCE",Druddigon,SPECIES_DRUDDIGON,Caverna rara,MAP_DRAGONS_DEN_CAVERN,land_mons,Qualquer,45,55,1%,SPECIES_NOIVERN (slot 12),Espécie de estágio único.,DRAGON: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
BOUFFALANT,Bouffalant,"Bouffalant: ROCK_HEAD, UNDERDOG, PACK_LEADER",Bouffalant,SPECIES_BOUFFALANT,Grama rara,MAP_ROUTE48,land_mons,Dia,30,34,1%,SPECIES_FLAMIGO (slot 12),Espécie de estágio único.,NORMAL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
HEATMOR,Heatmor,"Heatmor: STAKEOUT, TOUGH_CLAWS, BRAND_OF_TORMENT",Heatmor,SPECIES_HEATMOR,Interior raro,MAP_BURNED_TOWER_B1F,land_mons,Qualquer,19,23,1%,SPECIES_CHARCADET (slot 12),Espécie de estágio único.,FIRE: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
DURANT,Durant,"Durant: COMPOUND_EYES, BATTLE_ARMOR, TINTED_LENS",Durant,SPECIES_DURANT,Caverna rara,MAP_UNION_CAVE_B2F,land_mons,Qualquer,23,23,1%,SPECIES_KANGASKHAN (slot 12),Espécie de estágio único.,"BUG, STEEL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
BUNNELBY,Bunnelby; Diggersby,"Bunnelby: UNDERDOG | Diggersby: UNDERDOG, PACK_LEADER, GENERALIST",Bunnelby,SPECIES_BUNNELBY,Grama,MAP_ROUTE29,land_mons,Manhã,2,2,4%,SPECIES_HOOTHOOT (slot 10),Evoluir para Diggersby.,"NORMAL / NORMAL, GROUND: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
SCATTERBUG,Scatterbug (20 padrões); Spewpa (20); Vivillon (20),"UNDERDOG | SHED_SKIN | COMPOUND_EYES, SHIELD_DUST, TINTED_LENS",Scatterbug Fancy,SPECIES_SCATTERBUG_FANCY,Parque rara,MAP_NATIONAL_PARK_NORMAL,land_mons,Dia,14,17,4%,SPECIES_WIMPOD (slot 10),Usar SPECIES_SCATTERBUG_FANCY como padrão regional; evoluir para Spewpa e Vivillon Fancy. Outros padrões cosméticos ficam fora da tabela ou dependem de seletor de forma.,"BUG / BUG, FLYING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
PANCHAM,Pancham; Pangoro,"Pancham: GUTS | Pangoro: GUTS, DEFIANT, BREAKING_PRESENCE",Pancham,SPECIES_PANCHAM,Grama rara,MAP_ROUTE34,land_mons,Dia,14,16,1%,SPECIES_CLEFAIRY (slot 11),Evoluir para Pangoro após cumprir a condição Dark configurada.,"FIGHTING / FIGHTING, DARK: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
FURFROU,Furfrou Natural + 9 trims,"Todas as formas: DAZZLING, TRUE_GRIT, GENERALIST",Furfrou Natural,SPECIES_FURFROU_NATURAL,Grama rara,MAP_ROUTE35,land_mons,Dia,15,17,5%,SPECIES_MINCCINO (slot 8),"Apenas a forma Natural aparece; trims devem vir de groomer/mudança de forma, nunca de slots separados.",Forma especial: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
SPRITZEE,Spritzee; Aromatisse,"Spritzee: FRIEND_GUARD | Aromatisse: REGENERATOR, SOOTHING, FRIEND_GUARD",Spritzee,SPECIES_SPRITZEE,Parque rara,MAP_NATIONAL_PARK_NORMAL,land_mons,Dia,14,15,5%,SPECIES_METAPOD (slot 8),Evoluir para Aromatisse; confirmar alternativa acessível à evolução por troca/item.,FAIRY: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
SWIRLIX,Swirlix; Slurpuff,"Swirlix: FRIEND_GUARD | Slurpuff: GLUTTONY, FRIEND_GUARD, SOOTHING",Swirlix,SPECIES_SWIRLIX,Grama rara,MAP_ROUTE36,land_mons,Dia,7,8,1%,SPECIES_HOUNDOUR (slot 11),Evoluir para Slurpuff; confirmar alternativa acessível à evolução por troca/item.,FAIRY: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
HELIOPTILE,Helioptile; Heliolisk,"Helioptile: MOTOR_DRIVE | Heliolisk: MOTOR_DRIVE, LIGHTNING_ROD, VOLT_ABSORB",Helioptile,SPECIES_HELIOPTILE,Grama,MAP_ROUTE39,land_mons,Dia,19,26,1%,SPECIES_TAUROS (slot 12),Evoluir com a pedra configurada para Heliolisk.,"ELECTRIC, NORMAL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
DEDENNE,Dedenne,"Dedenne: FRIEND_GUARD, MOTOR_DRIVE, LIGHTNING_ROD",Dedenne,SPECIES_DEDENNE,Caverna rara,MAP_RAILWAY_CAVE,land_mons,Qualquer,26,29,1%,SPECIES_DIGLETT_ALOLA (slot 11),Espécie de estágio único.,"ELECTRIC, FAIRY: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
CARBINK,Carbink,"Carbink: FILTER, SOLID_ROCK, ROCK_AND_STONE",Carbink,SPECIES_CARBINK,Caverna muito rara,MAP_UNION_CAVE_B2F,land_mons,Qualquer,20,23,1%,SPECIES_HAWLUCHA (slot 11),Espécie de estágio único.,"ROCK, FAIRY: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
PUMPKABOO,Pumpkaboo e Gourgeist: 4 tamanhos cada,"Pumpkaboo: CURSED_BODY | Gourgeist: HARVEST, FLUFFY, CURSED_BODY",Pumpkaboo,SPECIES_PUMPKABOO_AVERAGE,Interior noturno,MAP_BURNED_TOWER_B1F,land_mons,Noite,19,23,4%,SPECIES_MAGMAR (slot 10),Um único slot deve sortear os quatro tamanhos; evoluir para Gourgeist preservando o tamanho e com alternativa acessível à troca.,"GHOST, GRASS: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
MINIOR,Minior: 7 Meteor + 7 Core,"Todas as formas: COSMIC_FORM, LEVITATE, ADAPTABILITY",Minior Meteor,SPECIES_MINIOR_METEOR_RED,Caverna pós-jogo muito rara,MAP_MT_MORTAR_DEPTHS_1,land_mons,Qualquer,45,50,1%,SPECIES_TORKOAL (slot 12),Um único slot deve sortear as sete cores Meteor; cada uma revela sua Core correspondente em batalha. Não criar 14 slots.,Forma especial: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
