Familia,Geracao,NumMembros,Status,Metodo,Localizacao,Faixa_Nivel,Observacao
WAILMER,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE33SOUTH,30-35,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SPOINK,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_SPROUT_TOWER_3F,3-6,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
CORPHISH,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_OLIVINE_CITY,21-25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SLAKOTH,3,3,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE39,21-23,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
WHISMUR,3,3,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE42,21-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
WURMPLE,3,3,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE37,18-22,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
LUVDISC,3,1,Implementado,water_mons (substituição de slot),MAP_ROUTE40,22-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
VELUZA,9,1,Implementado,water_mons (substituição de slot),MAP_ROUTE40,21-25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BIDOOF,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE29,2-3,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
MILCERY,8,1,Implementado,land_mons (substituição de slot),MAP_ROUTE29,2-3,"Base obtível via encontro selvagem. Mecânica de evolução EVO_SPIN + Sweets já existe no motor (gen_8_families.h), mas nenhum item Sweet é vendido/distribuído neste hack; formas Alcremie seguem Referenciadas mas não obtíveis. Nenhum item novo foi adicionado."
KRICKETOT,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE30,4,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BLIPBUG,8,3,Implementado,land_mons (substituição de slot),MAP_ROUTE30,3-5,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
COMBEE,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE31,5-6,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
GOSSIFLEUR,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE31,5-6,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CHERUBI,4,3,Implementado,land_mons (substituição de slot),MAP_ILEX_FOREST,12-16,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
TAROUNTULA,9,2,Implementado,land_mons (substituição de slot),MAP_ILEX_FOREST,12-16,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
GLAMEOW,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE46,2-4,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
LECHONK,9,3,Implementado,land_mons (substituição de slot),MAP_ROUTE46,2-3,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
STUNKY,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE32,7-12,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
FIDOUGH,9,2,Implementado,land_mons (substituição de slot),MAP_ROUTE32,7-12,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BRONZOR,4,2,Implementado,land_mons (substituição de slot),MAP_TIN_TOWER_5F,40-45,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CHATOT,4,1,Implementado,land_mons (substituição de slot),MAP_ROUTE33,11-14,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SQUAWKABILLY,9,4,Implementado,land_mons (substituição de slot),MAP_ROUTE33,11-14,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CROAGUNK,4,2,Implementado,land_mons (substituição de slot),MAP_ROUTE34,14-16,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
MASCHIFF,9,2,Implementado,land_mons (substituição de slot),MAP_ROUTE34,14-16,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CARNIVINE,4,1,Implementado,land_mons (substituição de slot),MAP_NATIONAL_PARK_NORMAL,14-17,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
NYMBLE,9,2,Implementado,land_mons (substituição de slot),MAP_NATIONAL_PARK_NORMAL,14-15,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
KARRABLAST,5,2,Implementado,land_mons (substituição de slot),MAP_ROUTE36,7-8,"Base obtível via encontro selvagem. Evolução (Escavalier) depende de troca por Shelmet; Shelmet permanece bloqueado (Sem_innate.csv, NumInnates=0) e não foi habilitado, então Escavalier segue Referenciado mas não obtível. Nenhuma evolução foi alterada."
SMOLIV,9,3,Implementado,land_mons (substituição de slot),MAP_ROUTE36,7-8,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
PIKIPEK,7,3,Implementado,land_mons (substituição de slot),MAP_ROUTE35,16-20,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SHROODLE,9,2,Implementado,land_mons (substituição de slot),MAP_ROUTE35,15-17,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
YUNGOOS,7,2,Implementado,land_mons (substituição de slot),MAP_ROUTE38,20-25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CUFANT,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE38,20-25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BOMBIRDIER,9,1,Implementado,land_mons (substituição de slot),MAP_ROUTE38,19-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
WISHIWASHI,7,2,Implementado,water_mons (substituição de slot),MAP_ROUTE41,20-30,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
MUDBRAY,7,2,Implementado,land_mons (substituição de slot),MAP_UNION_CAVE_1F,9-13,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
DEWPIDER,7,2,Implementado,fishing_mons (substituição de slot),MAP_WHIRL_ISLANDS_1F,20,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
FOMANTIS,7,2,Implementado,land_mons (substituição de slot),MAP_ROUTE37,18-21,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
RELLOR,9,2,Implementado,land_mons (substituição de slot),MAP_ROUTE37,18-21,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
MORELULL,7,2,Implementado,land_mons (substituição de slot),MAP_ROUTE48,30-34,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
NICKIT,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE48,30-34,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SALANDIT,7,2,Implementado,land_mons (substituição de slot),MAP_BURNED_TOWER_B1F,18-22,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
GREAVARD,9,2,Implementado,land_mons (substituição de slot),MAP_BURNED_TOWER_B1F,19-21,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
STUFFUL,7,2,Implementado,land_mons (substituição de slot),MAP_ROUTE39,21-24,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BOUNSWEET,7,3,Implementado,land_mons (substituição de slot),MAP_KITAKAMI_BORDER,42-48,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
COMFEY,7,1,Implementado,land_mons (substituição de slot),MAP_ROUTE42,22-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ORANGURU,7,1,Implementado,land_mons (substituição de slot),MAP_VAJRA_PYRAMID_FLOOR1,58-60,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
PASSIMIAN,7,1,Implementado,land_mons (substituição de slot),MAP_ROUTE43,25-27,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
DRACOZOLT,8,1,Implementado,land_mons (substituição de slot),MAP_ROUTE43,25-28,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SANDYGAST,7,2,Implementado,land_mons (substituição de slot),MAP_CERULEAN_CAVE_1F,58-69,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
KOMALA,7,1,Implementado,land_mons (substituição de slot),MAP_ROUTE45,40-45,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
TURTONATOR,7,1,Implementado,land_mons (substituição de slot),MAP_MT_MORTAR_DEPTHS_1,43-50,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
TOGEDEMARU,7,1,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE,25-29,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
TADBULB,9,2,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE,25-28,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
MORPEKO,8,2,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE,25-28,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BRUXISH,7,1,Implementado,water_mons (substituição de slot),MAP_WHIRL_ISLANDS_B1F,33-40,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SKWOVET,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE47,33-50,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
WOOLOO,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE49,24-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CHEWTLE,8,2,Implementado,water_mons (substituição de slot),MAP_WHIRL_ISLANDS_DESCENT,33-41,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
YAMPER,8,2,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE_2F,26-29,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
VAROOM,9,2,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE_2F,26-29,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ROLYCOLY,8,3,Implementado,land_mons (substituição de slot),MAP_UNION_CAVE_B1F,10-13,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CRAMORANT,8,3,Implementado,water_mons (substituição de slot),MAP_FOGGY_SHORE,20-24,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ARROKUDA,8,2,Implementado,water_mons (substituição de slot),MAP_ROUTE33SOUTH,30-35,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CLOBBOPUS,8,2,Implementado,land_mons (substituição de slot),MAP_ROUTE50,50-55,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
HATENNA,8,3,Implementado,land_mons (substituição de slot),MAP_SPROUT_TOWER_2F,3-7,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
PINCURCHIN,8,1,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE_3F,25-29,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ORTHWORM,9,1,Implementado,land_mons (substituição de slot),MAP_RAILWAY_CAVE_3F,25-28,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
SNOM,8,2,Implementado,land_mons (substituição de slot),MAP_ICE_PATH_B2F,31-40,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
STONJOURNER,8,1,Implementado,land_mons (substituição de slot),MAP_UNION_CAVE_B2F,25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
EISCUE,8,2,Implementado,land_mons (substituição de slot),MAP_ICE_PATH_B4F,34-41,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ARCTOZOLT,8,1,Implementado,land_mons (substituição de slot),MAP_SNOWTOP_MOUNTAIN_OUTSIDE,27-29,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
DRACOVISH,8,1,Implementado,water_mons (substituição de slot),MAP_OLIVINE_CITY,22-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
ARCTOVISH,8,1,Implementado,water_mons (substituição de slot),MAP_CIANWOOD_CITY,21-25,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
WIGLETT,9,2,Implementado,water_mons (substituição de slot),MAP_ROUTE50UNDERWATER,45-55,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
TOEDSCOOL,9,2,Implementado,land_mons (substituição de slot),MAP_CLIFF_EDGE_CAVE,23-26,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
KLAWF,9,1,Implementado,land_mons (substituição de slot),MAP_MT_MORTAR_B1F,22-28,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
BRAMBLIN,9,2,Implementado,land_mons (substituição de slot),MAP_SPROUT_TOWER_3F,3-8,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CETODDLE,9,2,Implementado,land_mons (substituição de slot),MAP_SNOWTOP_MOUNTAIN,27-30,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela ou (quando indicado na auditoria) globalmente noutro mapa.
CRANIDOS,4,2,Implementado,"rock_smash_mons (substituição de slot; ITEM_SKULL_FOSSIL não é obtível neste hack, então a restauração de fóssil sugerida pela planilha não é viável sem adicionar um novo item — usado encontro selvagem direto no mesmo local temático)",MAP_RUINS_OF_ALPH_OUTSIDE,30,Ver observação.
SHIELDON,4,2,Implementado,"rock_smash_mons (substituição de slot; ITEM_ARMOR_FOSSIL não é obtível neste hack, mesma justificativa de CRANIDOS)",MAP_RUINS_OF_ALPH_OUTSIDE,30,Ver observação.
BURMY,4,3,Bloqueado por membro sem innate,-,-,-,Mothim (evolução macho) tem NumInnates=0 (Sem_innate.csv). Família inteira permanece bloqueada; nenhum innate foi configurado.
TYPE_NULL,7,18,Removido do escopo por ser unique,-,-,-,"Classificado como Sublendário na aba Pokemon_uniques.csv da própria planilha (linha 772), apesar de também aparecer em Prontos_para_inserir. Mantido bloqueado por decisão de auditoria independente do código (regra de exclusão obrigatória de sublendários)."
